episode_id,title,season,doctorid,is_special,is_earth,is_space,is_past,is_present,is_future,is_outside_time,Producer,Director,Writer,Music,date,Aired_Fri,Aired_Mon,Aired_Sat,Aired_Sun,Aired_Tue,Aired_Wed,rating,views,Has 10,Has 11,Has 12,Has 13,Has 9,Has Amy Pond,Has Bill,Has Clara,Has Cyberman,Has Dalek,Has Danny Pink,Has Donna Noble,Has Grace,Has Graham O'Brien,Has Jackie Tyler,Has Jenny Flint,Has Judoon,Has Kate Lethbridge-Stewart,Has Madame Kovarian,Has Madame Vastra,Has Martha Jones,Has Mickey Smith,Has Nardole,Has Ood,Has Osgood,Has River Song,Has Rory,Has Rose Tyler,Has Ryan Sinclair,Has Sarah Jane Smith,Has Sontaran,Has Sophie,Has The Master,Has The Silent,Has The War Doctor,Has Weeping Angel,Has Winston Churchill,Has Yasmin Khan,Has Zygon,Weekday
1.01,Rose,1,9,0,1,0,0,1,0,0,Phil Collinson,Keith Boak,Russell T Davies,Murray Gold,2005-03-26,0,0,1,0,0,0,7.6,10.81,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
1.02,The End of the World,1,9,0,0,1,0,0,1,0,Phil Collinson,Euros Lyn,Russell T Davies,Murray Gold,2005-04-02,0,0,1,0,0,0,7.6,7.97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
1.03,The Unquiet Dead,1,9,0,1,0,1,0,0,0,Phil Collinson,Euros Lyn,Mark Gatiss,Murray Gold,2005-04-09,0,0,1,0,0,0,7.6,8.86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
1.04,Aliens of London,1,9,0,1,0,0,1,0,0,Phil Collinson,Keith Boak,Russell T Davies,Murray Gold,2005-04-16,0,0,1,0,0,0,7.0,7.63,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
1.05,World War Three,1,9,0,1,0,0,1,0,0,Phil Collinson,Keith Boak,Russell T Davies,Murray Gold,2005-04-23,0,0,1,0,0,0,7.1,7.98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
1.06,Dalek,1,9,0,1,0,0,0,1,0,Phil Collinson,Joe Ahearne,Robert Shearman,Murray Gold,2005-04-30,0,0,1,0,0,0,8.7,8.63,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
1.07,The Long Game,1,9,0,0,1,0,0,1,0,Phil Collinson,Brian Grant,Russell T Davies,Murray Gold,2005-05-07,0,0,1,0,0,0,7.2,8.01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
1.08,Father's Day,1,9,0,1,0,1,0,0,0,Phil Collinson,Joe Ahearne,Paul Cornell,Murray Gold,2005-05-14,0,0,1,0,0,0,8.4,8.06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
1.09,The Empty Child,1,9,0,1,0,1,0,0,0,Phil Collinson,James Hawes,Steven Moffat,Murray Gold,2005-05-21,0,0,1,0,0,0,9.2,7.11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
1.1,The Doctor Dances,1,9,0,1,0,1,0,0,0,Phil Collinson,James Hawes,Steven Moffat,Murray Gold,2005-05-28,0,0,1,0,0,0,9.1,6.86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
1.11,Boom Town,1,9,0,1,0,0,1,0,0,Phil Collinson,Joe Ahearne,Russell T Davies,Murray Gold,2005-06-04,0,0,1,0,0,0,7.2,7.68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
1.12,Bad Wolf,1,9,0,1,1,0,0,1,0,Phil Collinson,Joe Ahearne,Russell T Davies,Murray Gold,2005-06-11,0,0,1,0,0,0,8.7,6.81,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
1.13,The Parting of the Ways,1,9,0,1,1,0,1,1,0,Phil Collinson,Joe Ahearne,Russell T Davies,Murray Gold,2005-06-18,0,0,1,0,0,0,9.1,6.91,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
2.0,The Christmas Invasion,2,10,1,1,0,0,1,0,0,Phil Collinson,James Hawes,Russell T Davies,Murray Gold,2005-12-25,0,0,0,1,0,0,8.2,9.84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Sunday
2.01,New Earth,2,10,0,1,0,0,0,1,0,Phil Collinson,James Hawes,Russell T Davies,Murray Gold,2006-04-15,0,0,1,0,0,0,7.5,8.62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
2.02,Tooth and Claw,2,10,0,1,0,1,0,0,0,Phil Collinson,Euros Lyn,Russell T Davies,Murray Gold,2006-04-22,0,0,1,0,0,0,7.9,9.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
2.03,School Reunion,2,10,0,1,0,0,1,0,0,Phil Collinson,James Hawes,Toby Whithouse,Murray Gold,2006-04-29,0,0,1,0,0,0,8.4,8.31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Saturday
2.04,The Girl in the Fireplace,2,10,0,1,1,1,0,1,0,Phil Collinson,Euros Lyn,Steven Moffat,Murray Gold,2006-05-06,0,0,1,0,0,0,9.3,7.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
2.05,Rise of the Cybermen,2,10,0,1,0,0,1,0,0,Phil Collinson,Graeme Harper,Tom MacRae,Murray Gold,2006-05-13,0,0,1,0,0,0,7.8,9.22,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
2.06,The Age of Steel,2,10,0,1,0,0,1,0,0,Phil Collinson,Graeme Harper,Tom MacRae,Murray Gold,2006-05-20,0,0,1,0,0,0,7.9,7.64,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
2.07,The Idiot's Lantern,2,10,0,1,0,1,0,0,0,Phil Collinson,Euros Lyn,Mark Gatiss,Murray Gold,2006-05-27,0,0,1,0,0,0,6.9,6.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
2.08,The Impossible Planet,2,10,0,0,1,0,0,1,0,Phil Collinson,James Strong,Matt Jones,Murray Gold,2006-06-03,0,0,1,0,0,0,8.7,6.32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
2.09,The Satan Pit,2,10,0,0,1,0,0,1,0,Phil Collinson,James Strong,Matt Jones,Murray Gold,2006-06-10,0,0,1,0,0,0,8.8,6.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
2.1,Love and Monsters,2,10,0,1,0,0,1,0,0,Phil Collinson,Dan Zeff,Russell T Davies,Murray Gold,2006-06-17,0,0,1,0,0,0,6.2,6.66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
2.11,Fear Her,2,10,0,1,0,0,0,1,0,Phil Collinson,Euros Lyn,Matthew Graham,Murray Gold,2006-06-24,0,0,1,0,0,0,6.1,7.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
2.12,Army of Ghosts,2,10,0,1,0,0,1,0,0,Phil Collinson,Graeme Harper,Russell T Davies,Murray Gold,2006-07-01,0,0,1,0,0,0,8.5,8.19,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
2.13,Doomsday,2,10,0,1,0,0,1,1,0,Phil Collinson,Graeme Harper,Russell T Davies,Murray Gold,2006-07-08,0,0,1,0,0,0,9.3,8.22,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
3.0,The Runaway Bride,3,10,1,1,0,0,1,0,0,Phil Collinson,Euros Lyn,Russell T Davies,Murray Gold,2006-12-25,0,1,0,0,0,0,7.6,9.38,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monday
3.01,Smith and Jones,3,10,0,1,1,0,1,0,0,Phil Collinson,Charles Palmer,Russell T Davies,Murray Gold,2007-03-31,0,0,1,0,0,0,8.0,8.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
3.02,The Shakespeare Code,3,10,0,1,0,1,0,0,0,Phil Collinson,Charles Palmer,Gareth Roberts,Murray Gold,2007-04-07,0,0,1,0,0,0,7.8,7.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
3.03,Gridlock,3,10,0,1,0,0,0,1,0,Phil Collinson,Richard Clark,Russell T Davies,Murray Gold,2007-04-14,0,0,1,0,0,0,8.1,8.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
3.04,Daleks in Manhattan,3,10,0,1,0,1,0,0,0,Phil Collinson,James Strong,Helen Raynor,Murray Gold,2007-04-21,0,0,1,0,0,0,7.0,6.69,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
3.05,Evolution of the Daleks,3,10,0,1,0,1,0,0,0,Phil Collinson,James Strong,Helen Raynor,Murray Gold,2007-04-28,0,0,1,0,0,0,7.0,6.97,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
3.06,The Lazarus Experiment,3,10,0,1,0,0,1,0,0,Phil Collinson,Richard Clark,Stephen Greenhorn,Murray Gold,2007-05-05,0,0,1,0,0,0,6.7,7.19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
3.07,42,3,10,0,0,1,0,0,1,0,Phil Collinson,Graeme Harper,Chris Chibnall,Murray Gold,2007-05-19,0,0,1,0,0,0,7.5,7.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
3.08,Human Nature,3,10,0,1,0,1,0,0,0,Susie Liggat,Charles Palmer,Paul Cornell,Murray Gold,2007-05-26,0,0,1,0,0,0,9.0,7.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
3.09,Family of Blood,3,10,0,1,0,1,0,0,0,Susie Liggat,Charles Palmer,Paul Cornell,Murray Gold,2007-06-02,0,0,1,0,0,0,9.2,7.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
3.1,Blink,3,10,0,1,0,0,1,0,0,Phil Collinson,Hettie MacDonald,Steven Moffat,Murray Gold,2007-06-09,0,0,1,0,0,0,9.8,6.62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
3.11,Utopia,3,10,0,1,0,1,1,0,0,Phil Collinson,Graeme Harper,Russell T Davies,Murray Gold,2007-06-16,0,0,1,0,0,0,8.8,7.84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Saturday
3.12,The Sound of Drums,3,10,0,1,0,0,1,0,0,Phil Collinson,Colin Teague,Russell T Davies,Murray Gold,2007-06-23,0,0,1,0,0,0,8.7,7.51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Saturday
3.13,Last of the Time Lords,3,10,0,1,0,0,1,0,0,Phil Collinson,Colin Teague,Russell T Davies,Murray Gold,2007-06-30,0,0,1,0,0,0,8.4,8.61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Saturday
4.0,Voyage of the Damned,4,10,1,1,1,0,1,0,0,Phil Collinson,James Strong,Russell T Davies,Murray Gold,2007-12-25,0,0,0,0,1,0,7.7,13.31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tuesday
4.01,Partners in Crime,4,10,0,1,0,0,1,0,0,Phil Collinson,James Strong,Russell T Davies,Murray Gold,2008-04-05,0,0,1,0,0,0,7.8,9.14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
4.02,The Fires of Pompeii,4,10,0,1,0,1,0,0,0,Phil Collinson,Colin Teague,James Moran,Murray Gold,2008-04-12,0,0,1,0,0,0,8.1,9.04,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
4.03,Planet of the Ood,4,10,0,0,1,0,0,1,0,Susie Liggat,Graeme Harper,Keith Temple,Murray Gold,2008-04-19,0,0,1,0,0,0,8.1,7.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
4.04,The Sontaran Stratagem,4,10,0,1,1,0,1,0,0,Susie Liggat,Douglas Mackinnon,Helen Raynor,Murray Gold,2008-04-26,0,0,1,0,0,0,7.5,7.06,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Saturday
4.05,The Poison Sky,4,10,0,1,0,0,1,0,0,Susie Liggat,Douglas Mackinnon,Helen Raynor,Murray Gold,2008-05-03,0,0,1,0,0,0,7.6,6.53,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Saturday
4.06,The Doctor's Daughter,4,10,0,0,1,0,0,1,0,Phil Collinson,Alice Troughton,Stephen Greenhorn,Murray Gold,2008-05-10,0,0,1,0,0,0,7.7,7.33,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
4.07,The Unicorn and the Wasp,4,10,0,1,0,1,0,0,0,Susie Liggat,Graeme Harper,Gareth Roberts,Murray Gold,2008-05-17,0,0,1,0,0,0,7.8,8.41,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
4.08,Silence in the Library,4,10,0,0,1,0,0,1,0,Phil Collinson,Euros Lyn,Steven Moffat,Murray Gold,2008-05-31,0,0,1,0,0,0,9.4,6.27,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
4.09,Forest of the Dead,4,10,0,0,1,0,0,1,0,Phil Collinson,Euros Lyn,Steven Moffat,Murray Gold,2008-06-07,0,0,1,0,0,0,9.5,7.84,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
4.1,Midnight,4,10,0,0,1,0,0,1,0,Phil Collinson,Alice Troughton,Russell T Davies,Murray Gold,2008-06-14,0,0,1,0,0,0,9.0,8.05,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
