episodeid,title,first_diffusion,doctorid
4-3,The Power of the Daleks,"5 Nov, 1966",2
4-4,The Highlanders,"17 Dec, 1966",2
4-5,The Underwater Menace,"Jan 14, 1967",2
4-6,The Moonbase,"11 Feb, 1967",2
4-7,The Macra Terror,"11 Mar, 1967",2
4-8,The Faceless Ones,"8 Apr, 1967",2
4-9,The Evil of the Daleks,"20 May, 1967",2
5-1,The Tomb of the Cybermen,"2 Sep, 1967",2
5-2,The Abominable Snowmen,"30 Sep, 1967",2
5-3,The Ice Warriors,"Nov 11, 1967",2
5-4,The Enemy of the World,"23 Dec, 1967",2
5-5,The Web of Fear,"3 Feb, 1968",2
5-6,Fury From The Deep,"16 Mar, 1968",2
5-7,The Wheel In Space,"27 Apr, 1968",2
6-1,The Dominators,"10 Aug, 1968",2
6-2,The Mind Robber,"14 Sep, 1968",2
6-3,The Invasion,"2 Nov, 1968",2
6-4,The Krotons,"28 Dec, 1968",2
6-5,The Seeds of Death,"25 Jan, 1969",2
6-6,The Space Pirates,"8 Mar, 1969",2
6-7,The War Games,"19 Apr, 1969",2
1-1,An Unearthly Child,"23 Nov, 1963",1
1-2,The Daleks,"21 Dec, 1963",1
1-3,The Edge of Destruction,"8 Feb, 1964",1
1-4,Marco Polo,"22 Feb, 1964",1
1-5,The Keys Of Marinus,"11 Apr, 1964",1
1-6,The Aztecs,"23 May, 1964",1
1-7,The Sensorites,"20 Jun, 1964",1
1-8,Reign of Terror,"12 Sep, 1964",1
2-1,Planet of Giants,"31 Oct, 1964",1
2-2,The Dalek Invasion of Earth,"21 Nov, 1964",1
2-3,The Rescue,"2 Jan, 1965",1
2-4,The Romans,"16 Jan, 1965",1
2-5,The Web Planet,"13 Feb, 1965",1
2-6,The Crusade,"28 Mar, 1965",1
2-7,The Space Museum,"24 Apr, 1965",1
2-8,The Chase,"22 May, 1965",1
2-9,The Time Meddler,"3 Jul, 1965",1
3-1,Galaxy Four,"11 Sep, 1965",1
3-1-5,Mission to the Unknown,"9 Oct, 1965",1
3-2,The Myth Makers,"16 Oct, 1965",1
3-3,The Dalek's Master Plan,"13 Nov, 1966",1
3-4,The Massacre of St Bartholomew's Eve,"5 Feb, 1966",1
3-5,The Ark,"5 Mar, 1966",1
3-6,The Celestial Toymaker,"2 Apr, 1966",1
3-7,The Gunfighters,"30 Apr, 1966",1
3-8,The Savages,"28 May, 1966",1
3-9,The War Machines,"25 Jun, 1966",1
4-1,The Smugglers,"10 Sep, 1966",1
4-2,The Tenth Planet,"8 Oct, 1966",1
19-1,Castrovalva,"4 Jan, 1982",5
19-2,Four to Doomsday,"18 Jan, 1982",5
19-3,Kinda,"1 Feb, 1982",5
19-4,The Visitation,"15 Feb, 1982",5
19-5,Black Orchid,"1 Mar, 1982",5
19-6,Earthshock,"8 Mar, 1982",5
19-7,Time Flight,"22 Mar, 1982",5
20-1,Arc of Infinity,"3 Jan, 1983",5
20-2,Snakedance,"17 Jan, 1983",5
20-3,Mawdryn Undead,"1 Feb, 1983",5
20-4,Terminus,"15 Feb, 1983",5
20-5,Enlightenment,"1 Mar, 1983",5
20-6,The King's Demons,"15 Mar, 1983",5
20-7,The Five Doctors,"25 Nov, 1983",5
21-1,Warriors of the Deep,"5 Jan, 1984",5
21-2,The Awakening,"19 Jan, 1984",5
21-3,Frontios,"26 Jan, 1984",5
21-4,Resurrection of the Daleks,"8 Feb, 1984",5
21-5,Planet of Fire,"23 Feb, 1984",5
21-6,The Caves of Androzani,"8 Mar, 1984",5
28-05,Born Again,"18 Nov, 2005",10
28-0,The Christmas Invasion,"25 Dec, 2005",10
28-1,New Earth,"15 Apr, 2006",10
28-2,Tooth and Claw,"22 Apr, 2006",10
28-3,School Reunion,"29 Apr, 2006",10
28-4,The Girl in the Fireplace,"6 May, 2006",10
28-5,Rise of the Cybermen,"13 May, 2006",10
28-6,The Age of Steel,"20 May, 2006",10
28-7,The Idiot's Lantern,"27 May, 2006",10
28-8,The Impossible Planet,"3 Jun, 2006",10
28-9,The Satan Pit,"10 Jun, 2006",10
28-10,Love and Monsters,"17 Jun, 2006",10
28-11,Fear Her,"24 Jun, 2006",10
28-12,Army of Ghosts,"1 Jul, 2006",10
28-13,Doomsday,"8 Jul, 2006",10
29-0,The Runaway Bride,"25 Dec, 2006",10
29-1,Smith and Jones,"31 Mar, 2007",10
29-14,The Infinite Quest,"2 Apr, 2007",10
29-2,The Shakespeare Code,"7 Apr, 2007",10
29-3,Gridlock,"14 Apr, 2007",10
29-4,Daleks In Manhattan,"21 Apr, 2007",10
29-5,Evolution Of The Daleks,"28 Apr, 2007",10
29-6,The Lazarus Experiment,"5 May, 2007",10
29-7,42,"19 May, 2007",10
29-8,Human Nature,"26 May, 2007",10
29-9,Family of Blood,"2 Jun, 2007",10
29-10,Blink,"9 Jun, 2007",10
29-11,Utopia,"16 Jun, 2007",10
29-12,The Sound of Drums,"23 Jun, 2007",10
29-13,Last of the Time Lords,"30 Jun, 2007",10
CIN2007,Time Crash,"17 Nov, 2007",10
30-0,Voyage of the Damned,"25 Dec, 2007",10
30-1,Partners in Crime,"5 Apr, 2008",10
30-2,The Fires of Pompeii,"12 Apr, 2008",10
30-3,Planet of the Ood,"19 Apr, 2008",10
30-4,The Sontaran Stratagem,"26 Apr, 2008",10
30-5,The Poison Sky,"3 May, 2008",10
30-6,The Doctor's Daughter,"10 May, 2008",10
30-7,The Unicorn and The Wasp,"17 May, 2008",10
30-8,Silence in the Library,"31 May, 2008",10
30-9,Forest of the Dead,"7 Jun, 2008",10
30-10,Midnight,"14 Jun, 2008",10
30-11,Turn Left,"21 Jun, 2008",10
30-12,The Stolen Earth,"28 Jun, 2008",10
30-13,Journey's End,"5 Jul, 2008",10
30-14,The Next Doctor,"25 Dec, 2008",10
30-15,Planet of the Dead,"11 Apr, 2009",10
30-16,The Waters of Mars,"15 Nov, 2009",10
Dreamland,Dreamland,"21 Nov, 2009",10
30-17,"The End of Time, part one","25 Dec, 2009",10
30-18,"The End of Time, part two","1 Jan, 2010",10
7-1,Spearhead from Space,"3 Jan, 1970",3
7-2,Doctor Who and The Silurians,"31 Jan, 1970",3
7-3,The Ambassadors of Death,"21 Mar, 1970",3
7-4,Inferno,"9 May, 1970",3
8-1,Terror of the Autons,"2 Jan, 1971",3
8-2,The Mind of Evil,"30 Jan, 1971",3
8-3,The Claws of Axos,"13 Mar, 1971",3
8-4,Colony In Space,"10 Apr, 1971",3
8-5,The Daemons,"2 May, 1971",3
9-1,Day of the Daleks,"1 Jan, 1972",3
9-2,The Curse of Peladon,"29 Jan, 1972",3
9-3,The Sea Devils,"26 Feb, 1972",3
9-4,The Mutants,"8 Apr, 1972",3
9-5,The Time Monster,"20 May, 1972",3
10-1,The Three Doctors,"30 Dec, 1972",3
10-2,Carnival of Monsters,"27 Jan, 1973",3
10-3,Frontier in Space,"24 Feb, 1973",3
10-4,Planet of the Daleks,"7 Apr, 1973",3
10-5,The Green Death,"19 May, 1973",3
11-1,The Time Warrior,"15 Dec, 1973",3
11-2,Invasion of the Dinosaurs,"12 Jan, 1974",3
11-3,Death to the Daleks,"23 Feb, 1974",3
11-4,The Monster of Peladon,"23 Mar, 1974",3
11-5,Planet of the Spiders,"4 May, 1974",3
34-1,Deep Breath,23 Aug 2014,12
34-2,Into the Dalek,Into the Dalek,12
34-3,Robot of Sherwood,7 Sept 2014,12
34-4,Listen,13 Sept 2014,12
34-5,Time Heist,Time Heist,12
34-6,The Caretaker,27 Sep 2014,12
34-7,Kill the Moon,4 Oct 2014,12
34-8,Mummy on the Orient Express,11 Oct 2014,12
34-9,Flatline,18 Oct 2014,12
34-10,In the Forest of the Night,25 Oct 2014,12
34-11,Dark Water,1 Nov 2014,12
34-12,Death in Heaven,Death in Heaven,12
34-13,Last Christmas,Last Christmas,12
35-1,The Magician's Apprentice,19 Sep 2015,12
35-2,The Witch's Familiar,26 Sept 2015,12
35-3,Under the Lake,3 Oct 2015,12
35-4,Before The Flood,10 Oct 2015,12
35-5,The Girl Who Died,17 Oct 2015,12
35-6,The Woman Who Lived,24 Oct 2015,12
35-7,The Zygon Invasion,The ZygonInvasion,12
35-8,The Zygon Inversion,7 Oct 2015,12
35-9,Sleep No More,15 Nov 2015,12
35-10,Face the Raven,21 Nov 2015,12
35-11,Heaven Sent,28 Nov 2015,12
35-12,Hell Bent,5 Dec 2015,12
35-13,The Husbands of River Song,25 Dec 2015,12
36-0,"The Return of Doctor Mysterio, by Stephen Moffat",25 Dec 2016,12
36-1,The Pilot,15 Apr 2017    ,12
36-2,Smile,22 Apr 2017    ,12
36-3,Thin Ice,29 Apr 2017    ,12
36-4,Knock Knock,6 May 2017    ,12
36-5,Oxygen,13 May 2017    ,12
36-6,Extremis,20 May 2017    ,12
36-7,The Pyramid at the End of the World,27 May 2017    ,12
36-8,The Lie of the Land,03 Jun 2017    ,12
36-9,Empress of Mars,10 Jun 2017    ,12
36-10,The Eaters of Light,17 Jun 2017    ,12
36-11,World Enough and Time,24 Jun 2017    ,12
36-12,The Doctor Falls,1 Jul 2017    ,12
36-13,Twice Upon A Time,25 Dec 2017,12
21-7,The Twin Dilemma,"22 Mar, 1984",6
22-1,Attack of the Cybermen,"5 Jan, 1985",6
22-2,Vengeance on Varos,"19 Jan, 1985",6
22-3,The Mark of the Rani,"2 Feb, 1985",6
22-4,The Two Doctors,"16 Feb, 1985",6
22-5,Timelash,"9 Mar, 1985",6
22-6,Revelation of the Daleks,"23 Mar, 1985",6
23-1,The Mysterious Planet,"6 Sep, 1986",6
23-2,Mindwarp,"4 Oct, 1986",6
23-3,Terror of the Vervoids,"1 Nov, 1986",6
23-4,The Ultimate Foe,"29 Nov, 1986",6
24-1,Time and the Rani,"7 Sep, 1987",7
24-2,Paradise Towers,"5 Oct, 1987",7
24-3,Delta and the Bannermen,"2 Nov, 1987",7
24-4,Dragonfire,"23 Nov, 1987",7
25-1,Remembrance of the Daleks,"5 Oct, 1988",7
25-2,The Happiness Patrol,"2 Nov, 1988",7
25-3,Silver Nemesis,"23 Nov, 1988",7
25-4,The Greatest Show in the Galaxy,"14 Dec, 1988",7
26-1,Battlefield,"6 Sep 6, 1989",7
26-2,Ghost Light,"4 Oct, 1989",7
26-3,The Curse of Fenric,"25 Oct, 1989",7
26-4,Survival,"22 Nov, 1989",7
37-1,The Woman Who Fell To Earth,07 Oct 2018,13
37-2,The Ghost Monument,14 Oct 2018,13
37-3,Rosa,21 Oct 2018,13
37-4,Arachnids in the UK,28 Sep 2018,13
37-5,The Tsuranga Conundrum,4 Nov 2018,13
37-6,Demons of the Punjab,11 Nov 2018,13
37-7,Kerblam!,18 Nov 2018,13
37-8,The Witchfinders,25 Nov 2018,13
37-9,It Takes You Away,2 Dec 2018,13
37-10,The Battle of Ranskoor Av Kolos,9 Dec 2018,13
37-11,Resolution,1 Jan 2019,13
31-1,The Eleventh Hour,3 Apr 2010,11
31-2,The Beast Below,"10 Apr, 2010",11
31-3,Victory of the Daleks,"17 Apr, 2010",11
31-4,The Time of Angels,"24 Apr, 2010",11
31-5,Flesh and Stone,"1 May, 2010",11
31-6,The Vampires of Venice,"8 May, 2010",11
31-7,Amy's Choice,"15 May, 2010",11
31-8,The Hungry Earth,"22 May, 2010",11
31-9,Cold Blood,"29 May, 2010",11
31-10,Vincent and the Doctor,"5 Jun, 2010",11
31-11,The Lodger,"12 Jun, 2010",11
31-12,The Pandorica Opens,"19 Jun, 2010",11
31-13,The Big Bang,"26 Jun, 2010",11
32-0,A Christmas Carol,"25 Dec, 2010",11
TimeRND2011,Comic Relief Red Nose Day 2011 - Time,18 Mar 2011,11
32-1,The Impossible Astronaut,"23 Apr, 2011",11
32-2,Day of the Moon,"30 Apr, 2011",11
32-3,Curse of the Black Spot,"7 May, 2011",11
32-4,The Doctor's Wife,"14 May, 2011",11
32-5,The Rebel Flesh,"21 May, 2011",11
32-6,The Almost People,"28 May, 2011",11
32-7,A Good Man Goes To War,"4 Jun, 2011",11
32-8,Let's Kill Hitler,"27 Aug, 2011",11
32-9,Night Terrors,"3 Sep, 2011",11
32-10,The Girl Who Waited,"10 Sep, 2011",11
32-11,The God Complex,"17 Sep, 2011",11
32-12,Closing Time,"24 Sep, 2011",11
32-13,The Wedding of River Song,"1 Oct, 2011",11
33-0,"The Doctor, the Widow, and the Wardrobe","25 Dec, 2011",11
33-05,Pond Life,"27-31 Aug, 2012",11
33-1,Asylum of the Daleks,"1 Sep, 2012",11
33-2,Dinosaurs on a Spaceship,"8 Sep, 2012",11
33-3,A Town Called Mercy,"15 Sep, 2012",11
33-4,The Power of Three,"22 Sep, 2012",11
33-5,The Angels Take Manhattan,"29 Sep, 2012",11
CIN2012,The Great Detective,"16 Nov, 2012",11
33-59,Vastra Investigates,"17 Dec, 2012",11
33-6,The Snowmen,25 Dec 2012,11
webS7,The Battle of Demons Run - Two Days Later,"25 Mar, 2013",11
33-7,The Bells of Saint John,"30 Mar, 2013",11
33-8,The Rings of Akhaten,"6 Apr, 2013",11
33-9,Cold War,"13 Apr, 2013",11
33-10,Hide,"20 Apr, 2013",11
33-11,Journey to the Centre of the Tardis,"27 Apr, 2013",11
33-12,The Crimson Horror,"4 May, 2013",11
33-13,Nightmare in Silver,"11 May, 2013",11
33-14,The Name of the Doctor,"18 May, 2013",11
33-15,The Day of the Doctor,"23 Nov, 2013",11
33-16,The Time of the Doctor,"25 Dec, 2013",11
12-1,Robot,"28 Dec, 1974",4
12-2,The Ark in Space,"25 Jan, 1975",4
12-3,The Sontaran Experiment,"22 Feb, 1975",4
12-4,Genesis of the Daleks,"8 Mar, 1975",4
12-5,Revenge of the Cybermen,"19 Apr, 1975",4
13-1,Terror of the Zygons,"30 Aug, 1975",4
13-2,Planet of Evil,"27 Sep, 1975",4
13-3,Pyramids of Mars,"25 Oct, 1975",4
13-4,The Android Invasion,"22 Nov, 1975",4
13-5,The Brain of Morbius,"3 Jan, 1976",4
13-6,The Seeds of Doom,"31 Jan, 1976",4
14-1,Masque of Mandragora,"4 Sep, 1976",4
14-2,The Hand of Fear,"2 Oct, 1976",4
14-3,The Deadly Assassin,"30 Oct, 1976",4
14-4,The Face of Evil,"1 Jan, 1977",4
14-5,The Robots of Death,"29 Jan, 1977",4
14-6,The Talons of Weng-Chiang,"26 Feb, 1977",4
15-1,Horror of Fang Rock,"3 Sep, 1977",4
15-2,The Invisible Enemy,"1 Oct, 1977",4
15-3,Image of the Fendahl,"29 Oct, 1977",4
15-4,The Sun Makers,"26 Nov, 1977",4
15-5,Underworld,"7 Jan, 1978",4
15-6,The Invasion of Time,"4 Feb, 1978",4
16-1,The Ribos Operation,"2 Sep, 1978",4
16-2,The Pirate Planet,"30 Sep, 1978",4
16-3,The Stones of Blood,"28 Oct, 1978",4
16-4,The Androids of Tara,"25 Nov, 1978",4
16-5,The Power of Kroll,"23 Dec, 1978",4
16-6,The Armageddon Factor,"20 Jan, 1979",4
17-1,Destiny of the Daleks,"1 Sep, 1979",4
17-2,City of Death,"29 Sep, 1979",4
17-3,The Creature from the Pit,"27 Oct, 1979",4
17-4,Nightmare of Eden,"24 Nov, 1979",4
17-5,The Horns of Nimon,"22 Dec, 1979",4
17-6,Shada, Not broadcast,4
18-1,The Leisure Hive,"30 Aug, 1980",4
18-2,Meglos,"27 Sep, 1980",4
18-3,Full Circle,"25 Oct, 1980",4
18-4,State of Decay,"22 Nov, 1980",4
18-5,Warrior's Gate,"3 Jan, 1981",4
18-6,The Keeper of Traken,"31 Jan, 1981",4
18-7,Logopolis,"28 Feb, 1981",4
movie,The Movie,"12 May, 1996 (Canada)",8
Bounty,Bounty,Bounty,8
DeadTime,Dead Time,Dead Time,8
PTemple,"The People's Temple, by Paul Leonard","ABBC Audiobook, narrated by Paul McGann, released on 7th Sept 1998",8
34-05,The Night of the Doctor,"14 Nov, 2013",8
27-1,Rose,"26 Mar, 2005",9
27-2,The End of the World,"2 Apr, 2005",9
27-3,The Unquiet Dead,"9 Apr, 2005",9
27-4,Aliens of London,"16 Apr, 2005",9
27-5,World War Three,"23 Apr, 2005",9
27-6,Dalek,"30 Apr, 2005",9
27-7,The Long Game,"7 May, 2005",9
27-8,Father's Day,"14 May, 2005",9
27-9,The Empty Child,"21 May, 2005",9
27-10,The Doctor Dances,"28 May, 2005",9
27-11,Boom Town,"4 Jun, 2005",9
27-12,Bad Wolf,"11 Jun, 2005",9
27-13,The Parting of the Ways,"18 Jun, 2005",9
